Id,Name,Category,Location,Opening_hours,Holidays,I_Adult,I_Children,I_Photography,F_Adult,F_Children,F_Photography,Students Entry Fee,Required Time,"(latitude,longitude)",Description
50,Raman Research Institute Museum,Science and Technology,Banglore,9:00 AM - 5:00 PM,Sunday,Free,Free,Free,Free,Free,Free,Free,1 hour,"(13.0196,77.5667)","The Raman Research Institute (RRI) Museum is a part of the Raman Research Institute, a premier research institute in India founded by Dr. C.V. Raman, the Nobel laureate. The museum showcases a collection of scientific instruments, equipment, and exhibits related to the work of Dr. Raman and other scientists. It provides an insight into the history of science and technology, particularly in the field of physics and materials science. The museum also hosts temporary exhibitions and interactive displays, making it a popular destination for science enthusiasts and students."
51,Calico Museum of Textiles,Arts,Ahmedabad,10:30 AM – 1:00 PM,Wednesday and Public holidays,Free,Free,Prohibited,Free,Free,Prohibited,Free,2 hours,"(23.0626, 72.5803)","The Calico Museum of Textiles is a premier textile museum located in Ahmedabad, India. Established in 1949, it is dedicated to the preservation and exhibition of traditional Indian textiles, with a focus on the calico cloth of Gujarat. The museum's collection comprises over 20,000 pieces of fabrics, including intricately woven silk, cotton, and woolen textiles, as well as embroidery, printed, and dyed fabrics. The museum's collection is divided into several galleries, showcasing the various techniques and traditions of Indian textile art. It is considered one of the best textile museums in the world. After 10:30 am the visitors are not allowed to enter(Visitors need to enter exactly or before 10:30 am to enter the museum."
52,Air Force Museum,Historical Museums,Delhi,10:00 AM - 5:00 PM,"Monday,Tuesday and Public holidays",30,15,Prohibited,100,50,Prohibited,Free,2 hours,"(28.5833, 77.1211)","The Indian Air Force Museum is located in Delhi, India. It showcases a collection of aircraft, missiles, and equipment that have been used by the Indian Air Force throughout its history. The museum is home to over 400 exhibits, including a Dakota aircraft used during World War II, a MiG-21 fighter jet, and a B-24 Liberator bomber. Visitors can also see a range of air force memorabilia, including uniforms, medals, and photographs. The museum is a popular tourist destination and a must-visit for aviation enthusiasts and history buffs."
53,Gandhi Ashram,Historical Museums,Ahmedabad,8:30 AM - 6:30 PM,Opens Daily,Free,Free,Free,Free,Free,Free,Free,1 hour,"(23.0600,72.5800)","The Gandhi Ashram, located in Ahmedabad, Gujarat, is a museum and former ashram (residence) of Mahatma Gandhi, showcasing his life, philosophy, and legacy. The ashram, established in 1917, was a hub for India''s Freedom movement and features several exhibits, including Gandhi''s personal belongings, letters, and photographs. The ashram complex also includes a museum, library, and archives, providing insights into Gandhi''s life and India''s struggle for independence."
54,Taj Museum,"Historical Museums, Archeology,Arts.",Agra,10:00 AM - 5:00 PM,Friday,50,Free,200,1100,Free,200,20,4 hours,"(27.1751,78.0421)","The Taj Museum, also known as the Taj Museum and Archives, is a museum located within the premises of the Taj Mahal in Agra, India. It showcases the history and construction of the iconic monument, with exhibits on its architecture, engineering, and the story behind its creation. The museum features models, photographs, and artifacts that provide a detailed understanding of the Taj Mahal's design and significance. Visitors can gain a deeper appreciation for the monument's beauty and historical importance by exploring the exhibits and displays at the Taj Museum."
55,Indira Gandhi Rashtriya Manav Sangrahalaya,"General,Historical Museums,Arts,Museum-House",Bhopal,11:00 AM - 5:30 PM,Monday and public holidays,50,Free,Free,50,Free,Free,25,5 hours,"(23.2295,77.4020)","The Indira Gandhi Rashtriya Manav Sangrahalaya (IGRMS) is a museum located in Bhopal, Madhya Pradesh, India. It is also known as the National Museum of Mankind. The museum showcases the art, culture, and traditions of the indigenous people of India. It has a collection of over 3,000 objects, including artifacts, textiles, and photographs. The IGRMS is a popular tourist destination and an important institution for preserving and promoting the cultural heritage of India's tribal communities. It is named after former Prime Minister Indira Gandhi, who played a key role in its establishment."
56,Red Fort,Historical Museums,Delhi,7:00 AM - 9:00 PM,Monday,70,10,25,1200,10,25,10,4 hours,"(28.6562,77.2410)","The Red Fort Museum is a famous museum located in New Delhi, India. It was once the main residence of the Mughal Empire and is now a UNESCO World Heritage Site. The museum showcases the history and culture of India, with a collection of artifacts and exhibits that date back to the 17th century. Some of the notable exhibits include the Diwan-i-Khas, the Mumtaz Mahal, and the Pearl Mosque. The museum also features a collection of rare coins, arms, and armory. Visitors can explore the museum's impressive collection and learn about India's rich history and cultural heritage."
57,Mysore Palace,Historical Museums,"Mysore,Karnataka",10:00 AM - 5:30 PM,Sundays,50,25,200,500,250,200,30,3 hours,"(12.3051,76.6551)","The Mysore Palace, officially known as Amba Vilas Palace, is a historic palace located in Mysore, Karnataka, India. Built in 1912, it is a blend of Hindu, Islamic, and Gothic styles of architecture. The palace features stunning stained glass windows, ornate carvings, and intricate mirror work. It is also home to a collection of paintings, artifacts, and artifacts from the Wodeyar dynasty, who ruled Mysore for over 500 years. The palace is a popular tourist destination and is considered one of the most beautiful palaces in India, attracting millions of visitors each year."
58,Kiran Nadar Museum of Art,Arts,New Delhi,10:30 AM - 6:30 PM,Mondays,50,Free,Free,200,Free,Free,50,2 hours,"(28.5286,77.2197)","The Kiran Nadar Museum of Art (KNMA) is a modern and contemporary art museum located in New Delhi, India. It was founded in 2010 by Kiran Nadar, a businesswoman and art collector. The museum showcases a diverse collection of over 4,000 works of art, featuring artists from across India, including modern masters like Nandalal Bose and F.N. Souza, as well as contemporary artists like Jagannath Panda and Sushanta Mandal. KNMA also hosts temporary exhibitions, artist talks, and educational programs to engage audiences with Indian art and culture."
59,National Rail Museum,Science and Technology,New Delhi,9:30 AM - 5:30 PM,Mondays,50,10,25,200,50,50,25,2 hours,"(28.5855,77.1910)","The National Rail Museum in New Delhi is a museum showcasing the history of rail transportation in India. Established in 1977, it is spread over 10 acres of land and features a collection of over 100 exhibits, including vintage locomotives, carriages, and railway equipment. The museum also offers a toy train ride, a garden, and a restaurant. Visitors can explore the museum's collection, which includes the iconic Fairy Queen locomotive, built in 1855. The museum is a popular tourist destination and a great place to learn about India's rich railway heritage. It is open daily from 9:30 AM to 5:00 PM."
60,The Bombay Natural History Society (BNHS) Museum,Science and Technology,Mumbai,10:00 AM - 6:00 PM,Mondays,20,10,10,100,50,50,10,1 hour,"(18.9260,72.8316)","The Bombay Natural History Society (BNHS) Museum is a natural history museum located in Mumbai, India. It was established in 1883 by the Bombay Natural History Society, a non-profit organization dedicated to the conservation of wildlife and natural resources. The museum showcases a vast collection of specimens, including mammals, birds, reptiles, amphibians, fish, and insects, as well as artifacts and exhibits on natural history, anthropology, and geology. The museum is a repository of India's natural heritage and offers educational programs, research facilities, and public exhibitions. It is a must-visit destination for nature enthusiasts and scientists."
61,Rumi Darwaza Museum,Historical Museum,Lucknow,10:00 AM - 6:00 PM,Mondays,20,10,10,100,50,50,10,1 hour,"(26.8690,80.9129)","The Rumi Darwaza Museum is a 17th-century gateway located in Lucknow, India. It was built by Nawab Asaf-ud-Daula in 1784 and serves as a museum showcasing the history and architecture of the region. The name ""Rumi Darwaza"" translates to ""Roman Gate"" due to its resemblance to ancient Roman architecture. The museum features exhibits on the city's history, culture, and Mughal era, making it a significant cultural and historical landmark in India. Visitors can explore the museum to gain insight into the rich heritage of Lucknow and its surrounding areas."
62,Shankar’s International Dolls Museum,Arts,New Delhi,10:00 AM - 6:00 PM,Mondays,20,10,25,50,25,50,10,1 hour,"(28.6270,77.2410)","The Shankar's International Dolls Museum is a popular tourist destination located in New Delhi, India. It was founded by Dr. Shankar Dayal Sharma, a former President of India, and his wife. The museum showcases a vast collection of over 6,000 dolls from around the world, representing various cultures and traditions. The dolls are displayed in intricately designed settings, giving visitors a glimpse into the traditional attire and customs of different countries. The museum is a must-visit for children and adults alike, offering an educational and entertaining experience for all. It is open from 10 am to 5 pm daily."
63,TATA Institute of Fundamental Research (TIFR) Museum,Science and Technology,Mumbai,9:00 AM - 5:00 PM,"Saturdays,Sundays",Free,Free,Free,Free,Free,Free,Free,1 hour,"(19.0155,72.8562)","The TATA Institute of Fundamental Research (TIFR) Museum in Mumbai celebrates India's scientific achievements and advancements, offering interactive displays, historic artifacts, and archival collections from pioneers like Dr. Homi Bhabha. Visitors can explore exhibits on quantum mechanics, astrophysics, particle physics, and India’s nuclear and space research programs. With workshops, guided tours, and hands-on exhibits, the museum provides an engaging experience for science enthusiasts, making it a must-visit destination for understanding India’s contributions to global science and technology."
64,Raja Dinkar Kelkar Museum,Arts,Pune,10:00 AM - 6:00 PM,Opens Daily,20,10,25,50,25,50,10,1 hour,"(18.5108,73.8521)","The Raja Dinkar Kelkar Museum is a museum located in Pune, India. It is named after its founder, Raja Dinkar Kelkar, a renowned Indian art collector and historian. The museum showcases a vast collection of Indian art, artifacts, and sculptures, with a focus on Marathi culture and history. The collection includes over 40,000 items, including pottery, jewelry, coins, and textiles. The museum is known for its unique and well-curated exhibits, making it a popular tourist destination in Pune. It is also a research center for Indian art and culture."
65,Amaravathi Archaeological Museum,Archeology Museum,"Amaravati,Andhra Pradesh",9:00 AM - 5:00 PM,Fridays,5,2,20,250,125,200,150,2 hours,"(16.5745, 80.3581)","The Amaravathi Archaeological Museum is a museum located in Amaravathi, Andhra Pradesh, India. It is dedicated to the archaeological heritage of the region, particularly the Amaravathi culture that flourished during the 3rd century BCE to the 2nd century CE. The museum houses a collection of artifacts, including sculptures, inscriptions, and pottery, that provide valuable insights into the history and culture of the Amaravathi people. The museum is a popular tourist destination and a significant cultural institution in India, attracting scholars and visitors from around the world. It is a must-visit destination for those interested in Indian history and archaeology."
66,Chandragiri Archaeological Museum,Archeology Museum,"Chandragiri, Chittoor district",10:00 AM - 5:00 PM,Fridays,100,50,50,205,100,150,100,2 hours,"(13.5667, 79.4167)","The Chandragiri Archaeological Museum is located in the Chandragiri village near Tirupati, Chittoor district, Andhra Pradesh, India. The museum showcases a collection of ancient sculptures, inscriptions, and other archaeological finds from the region, dating back to the 2nd century BC. The museum is situated near the historic Chandragiri Fort, which offers stunning views of the surrounding hills and the Tirumala hills."
67,Nagarjunakonda Archaeological Museum,Archeology Museum,"Nagarjunakonda, Palnadu district",9:00 AM - 5:00 PM,Fridays,10,5,30,200,100,150,100,3 hours,"(16.5219, 79.2429)","The Nagarjunakonda Archaeological Museum is a renowned museum located in Andhra Pradesh, India. It is situated near the famous Nagarjunasagar Dam and houses an impressive collection of artifacts and sculptures from the Buddhist era, particularly from the 2nd to 5th centuries AD. The museum features numerous reliefs, statues, and inscriptions that showcase the rich cultural heritage of the region. The museum is a significant archaeological site, providing valuable insights into the history and art of ancient India. It is a must-visit destination for history buffs and archaeology enthusiasts."
68,Victoria Jubilee Museum (Bapu Museum),Archeology Museum,Vijayawada,10:00 AM - 6:00 PM,Fridays,50,30,50,200,100,200,150,2 hours,"(16.508, 80.628)","The Victoria Jubilee Museum, also known as Bapu Museum, is a museum located in Vijayawada, Andhra Pradesh, India. It was established in 1887 to commemorate the golden jubilee of Queen Victoria's accession to the throne. The museum showcases a collection of artifacts, sculptures, and paintings that reflect the region's rich cultural heritage, including the art and architecture of the Vijayanagara Empire. The museum also has a collection of archaeological findings and exhibits on the history of the region. It is a significant cultural institution in Vijayawada and attracts tourists and history enthusiasts alike."
69,Bhagwan Mahavir Government Museum,Archeology Museum,Kadapa,10:30 AM - 5:00 PM,Fridays,3,1,20,150,75,100,75,2 hours,"(14.4674, 78.8241)","The Bhagwan Mahavir Government Museum, located in Kadapa, Andhra Pradesh, India, is a treasure trove of history and culture. Established in 1973, the museum is a tribute to Bhagwan Mahavir, the 24th Jain Tirthankara. The museum showcases a vast collection of artifacts, including ancient sculptures, paintings, and coins, which highlight the rich cultural heritage of the region. The museum's galleries are divided into sections, such as archaeology, anthropology, and art, making it an excellent destination for history buffs and culture enthusiasts. Visitors can explore the museum's exhibits and learn about the region's rich past."
70,Baudhasree State Archaeological Museum,Archeology Museum,Guntur,10:30 AM - 5:00 PM,Fridays,3,1,20,150,75,100,75,2 hours,"(16.3067, 80.4365)","The Baudhasree State Archaeological Museum is a renowned museum located in Guntur, Andhra Pradesh, India. The museum is situated within the premises of Baudhasree, a 16th-century temple built by King Raja Prasanna Deva. The museum showcases an impressive collection of sculptures, pottery, and inscriptions from the Satavahana, Kakatiya, and Vijayanagara periods. The exhibits include bronze idols, temple inscriptions, and artifacts that highlight the rich cultural heritage of the region. The museum is a must-visit destination for history enthusiasts and those interested in understanding the ancient art and architecture of Andhra Pradesh."
71,ASP Government Museum and Research Institute,Archeology Museum,Kakinada,10:30 AM - 5:00 PM,Fridays,5,2,20,150,75,100,75,2 hours,"(16.9891, 82.2475)","The ASP Government Museum and Research Institute is a museum located in Kakinada, Andhra Pradesh, India. It was established in 1978 and is dedicated to the history and culture of the East Godavari district. The museum showcases a collection of artifacts, artworks, and archaeological finds, including sculptures, inscriptions, and coins. It also has a research wing that conducts studies and exhibitions on the region's history and culture. The museum is a popular tourist destination and a valuable resource for researchers and students of history and culture. It is open to visitors and offers guided tours."
72,Sri Rallabandi Subbarao Government Museum,Archeology Museum,Rajamundry,10:30 AM - 5:00 PM,Fridays,5,2,20,150,75,100,75,2 hours,"(17.0052, 81.7778)","The Sri Rallabandi Subbarao Government Museum, located in Rajahmundry, is a premier museum in the state of Andhra Pradesh, India. It was established in 1950 and is named after its founder, Sri Rallabandi Subbarao. The museum houses a vast collection of artifacts, including ancient sculptures, coins, and manuscripts, that showcase the rich cultural heritage of the region. The museum also features a gallery dedicated to the art and artifacts of the Buddhist and Jain periods, making it a must-visit destination for history and culture enthusiasts. It is a significant cultural institution in the region."
